Ligand,Target,Binding Energy,Unbound Energy,Date Created,Info
ZINC000014722381,6w4hpdbqt,-6.6,,2020.09.10 10:51:16,Vina
ZINC000001691392,6w4hpdbqt,-5.9,,2020.09.10 10:57:41,Vina
ZINC000012494658,6w4hpdbqt,-6.3,,2020.09.10 10:59:23,Vina
ZINC000002015922,6w4hpdbqt,-8.5,,2020.09.10 11:01:27,Vina
ZINC000000517458,6w4hpdbqt,-8.4,,2020.09.10 14:24:54,Vina
ZINC000014771814,6w4hpdbqt,-5.8,,2020.09.10 14:50:31,Vina
ZINC000014720247,6w4hpdbqt,-9.3,,2020.09.10 14:50:43,Vina
ZINC000000005438,6w4hpdbqt,-8.1,,2020.09.10 15:18:23,Vina
ZINC000000601301,6w4hpdbqt,-8.9,,2020.09.10 15:18:51,Vina
ZINC000016052729,6w4hpdbqt,-9.0,,2020.09.10 15:22:42,Vina
ZINC000014681083,6w4hpdbqt,-9.4,,2020.09.10 15:30:58,Vina
ZINC000013807005,6w4hpdbqt,-8.2,,2020.09.10 19:36:52,Vina
ZINC000003869862,6w4hpdbqt,-5.2,,2020.09.11 00:10:05,Vina
ZINC000014495791,6w4hpdbqt,-8.2,,2020.09.11 00:13:00,Vina
ZINC000058661310,6w4hpdbqt,-9.1,,2020.09.11 00:15:33,Vina
ZINC000014689048,6w4hpdbqt,-8.7,,2020.09.11 00:21:20,Vina
ZINC000033969753,6w4hpdbqt,-7.9,,2020.09.11 00:26:27,Vina
ZINC000000409206,6w4hpdbqt,-5.4,,2020.09.11 04:12:36,Vina
ZINC000085586300,6w4hpdbqt,-6.8,,2020.09.11 14:19:57,Vina
ZINC000058650145,6w4hpdbqt,-9.3,,2020.09.11 18:44:21,Vina
ZINC000013976391,6w4hpdbqt,-9.3,,2020.09.11 22:36:10,Vina
ZINC000073221324,6w4hpdbqt,-9.5,,2020.09.12 02:30:24,Vina
ZINC000000000572,6w4hpdbqt,-8.6,,2020.09.12 02:34:05,Vina
ZINC000004214775,6w4hpdbqt,-9.1,,2020.09.12 04:04:16,Vina
ZINC000003641060,6w4hpdbqt,-7.5,,2020.09.12 04:04:27,Vina
ZINC000008585917,6w4hpdbqt,-4.9,,2020.09.12 07:43:10,Vina
ZINC000004097702,6w4hpdbqt,-9.4,,2020.09.12 07:46:29,Vina
ZINC000033820503,6w4hpdbqt,-7.2,,2020.09.12 13:46:17,Vina
ZINC000005783214,6w4hpdbqt,-8.6,,2020.09.12 13:56:19,Vina
ZINC000085587073,6w4hpdbqt,-6.5,,2020.09.12 14:54:58,Vina
ZINC000085588758,6w4hpdbqt,-7.4,,2020.09.12 17:16:08,Vina
ZINC000085600697,6w4hpdbqt,-7.2,,2020.09.12 17:22:31,Vina
ZINC000085880168,6w4hpdbqt,-6.9,,2020.09.12 17:22:39,Vina
ZINC000085932417,6w4hpdbqt,-8.0,,2020.09.12 17:23:00,Vina
ZINC000095618739,6w4hpdbqt,-8.8,,2020.09.12 17:24:48,Vina
ZINC000095622377,6w4hpdbqt,-6.2,,2020.09.12 20:35:46,Vina
ZINC000095622500,6w4hpdbqt,-6.2,,2020.09.12 23:07:00,Vina
ZINC000095622894,6w4hpdbqt,-6.0,,2020.09.13 03:49:34,Vina
ZINC000095623747,6w4hpdbqt,-6.2,,2020.09.13 06:50:33,Vina
ZINC000100285161,6w4hpdbqt,-9.8,,2020.09.13 07:12:16,Vina
ZINC000100772177,6w4hpdbqt,-8.5,,2020.09.13 07:21:57,Vina
ZINC000100777097,6w4hpdbqt,-8.0,,2020.09.13 07:28:38,Vina
ZINC000104377080,6w4hpdbqt,-7.3,,2020.09.13 07:30:25,Vina
ZINC000104378077,6w4hpdbqt,-6.4,,2020.09.13 07:33:30,Vina
ZINC000113632069,6w4hpdbqt,-7.4,,2020.09.13 07:36:47,Vina
ZINC000117072009,6w4hpdbqt,-7.3,,2020.09.13 07:40:30,Vina
ZINC000118937067,6w4hpdbqt,-8.9,,2020.09.13 07:51:32,Vina
ZINC000150358147,6w4hpdbqt,-6.3,,2020.09.13 11:41:31,Vina
ZINC000150361107,6w4hpdbqt,-5.9,,2020.09.13 15:53:27,Vina
ZINC000150361870,6w4hpdbqt,-6.2,,2020.09.13 16:57:54,Vina
ZINC000150362007,6w4hpdbqt,-6.2,,2020.09.13 19:33:52,Vina
ZINC000150362683,6w4hpdbqt,-6.3,,2020.09.13 23:25:16,Vina
ZINC000150364810,6w4hpdbqt,-6.2,,2020.09.14 02:16:33,Vina
ZINC000150370352,6w4hpdbqt,-6.8,,2020.09.14 09:56:53,Vina
ZINC000150371656,6w4hpdbqt,-6.7,,2020.09.14 11:00:14,Vina
ZINC000150371674,6w4hpdbqt,-5.7,,2020.09.14 14:42:46,Vina
ZINC000150374853,6w4hpdbqt,-6.6,,2020.09.14 18:22:06,Vina
ZINC000150558151,6w4hpdbqt,-6.8,,2020.09.14 23:30:53,Vina
ZINC000169292629,6w4hpdbqt,-9.3,,2020.09.15 01:16:06,Vina
ZINC000255238954,6w4hpdbqt,-7.9,,2020.09.15 01:36:02,Vina
ZINC000257373549,6w4hpdbqt,-9.1,,2020.09.15 02:54:24,Vina
ZINC000257412093,6w4hpdbqt,-7.0,,2020.09.15 03:23:05,Vina
ZINC000257521879,6w4hpdbqt,-7.9,,2020.09.15 03:23:30,Vina
ZINC000257546578,6w4hpdbqt,-8.3,,2020.09.15 04:14:57,Vina
ZINC000257775068,6w4hpdbqt,-8.2,,2020.09.15 04:37:09,Vina
ZINC000261495704,6w4hpdbqt,-7.0,,2020.09.15 08:01:00,Vina
ZINC000685934995,6w4hpdbqt,-6.8,,2020.09.15 09:01:25,Vina
